"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD8-APC","CD7-APCH7","HLADR-AF700","CD11-PerCPCy55","CD38-BUV395","CD34-BUV563","CD4-BUV661","CD5-BUV737","CD15-BV421","CD3-BV480","Live_Dead Yellow","CD44-BV786","GFP","CD13-PE","CD33-PECF594","CD1a-PECy7","Time"
69099.4,58793.7,123918,19474.4,17917.6,79360.1,-29.3518,3971.5,26.6527,151.063,671.912,622.779,344.302,1411.57,152.184,46.8726,149.913,518.944,92.1073,-146.457,163.948,-67.3114,0.106203
42975.7,35757.3,117156,10664.1,9850.98,71884.1,-31.7255,8298.55,-3.11561,51.6968,1093.77,606.778,286.052,5623.1,96.827,2.70392,109.188,428.921,-0.948567,-67.7284,48.7831,253.139,0.108165
48967.2,43956.6,115062,9325.79,8683.16,69145.7,24.23,3299.76,123.382,-80.9612,4124.39,493.291,198.426,6021.78,172.195,6.46727,101.329,438.479,24.5829,12.9059,-56.3834,66.2963,0.10871
52135.6,47313.8,117343,9326.49,8857.35,69269,-5.94626,3643.91,-68.5753,184.018,5195.39,546.244,607.701,4995.32,120.08,66.4925,117.277,591.458,61.0741,-123.719,34.4282,1472.8,0.110011
70001.6,55398.8,128932,15086.8,12942,81079.3,1263.68,5012.92,70.8859,333.236,1327.25,1055.84,593.209,9874.08,40.3842,47.2632,95.7381,1162.97,21.8507,-70.0895,339.93,4288.45,0.110411
47868.4,42184.8,116973,9176.41,8356.07,68158,5.82532,9161.84,-16.9675,-6.08774,9662.22,451.27,147.103,7142.7,184.862,68.3416,85.1978,802.805,29.6358,-128.238,140.276,-124.418,0.110438
43279.4,39632.5,111905,9004.07,8532.01,67217,25.4458,5007.47,29.958,10.9257,2844.99,479.342,141.909,3334.12,106.734,85.6834,182.429,543.672,43.0529,-103.79,82.0314,237.341,0.111079
56995.2,48886.6,122175,11810.8,10520.2,75829.7,185.484,7711.87,36.9626,-13.428,8110.54,548.545,291.294,6211.75,127.18,61.6315,140.128,668.231,27.5673,23.8204,-9.60255,127.976,0.112864
60523.8,49930.6,125358,12805.9,11305.8,76768.2,63.1067,8642.47,28.4178,-15.5538,4781.47,1009.94,314.911,8278.96,145.808,98.9777,132.137,446.176,-14.9056,-151.811,4.96951,206.646,0.112928
58853.9,50796.4,121181,13197.6,12146.3,74221.5,-9.77159,7913.94,-78.9463,-41.1189,2623.3,1138.53,225.99,5556.37,201.709,9.47861,250.483,533.417,-7.78491,-14.8207,-29.4635,-13.7309,0.114984
62765.6,54331.7,123608,12828.6,11724.4,73804,220.214,9110.39,-55.6054,56.9879,1818.34,252.985,227.01,7323.77,108.423,25.1726,116.638,1127.05,18.7986,364.784,-11.6818,549.333,0.118823
55323.5,49335.6,117076,10185.9,9406.51,70308.8,-9.04694,4613.45,109.853,-59.1631,3175.96,436.734,1255.19,4248.39,-5.311,70.6281,105.614,782.652,60.0644,127.075,82.4032,520.571,0.120116
42387.5,37164.2,113910,8387.24,7868.1,66570.6,23.7702,5500.17,-146.613,-79.0644,3049.07,351.251,1490.45,5416.12,52.7423,17.5736,106.436,195.291,25.9989,-71.4411,77.9888,75.5484,0.121994
